longitude,latitude,Location
23.73567,37.975989,Sytagma_Square
23.733963,37.97567,Ermou_Street
23.729435,37.982571,Stadiou_Avenue
23.73053,37.98318,Panepistimiou_Eleftheriou_Venizelou_Avenue
23.743306,37.981885,Lycabetttus_Hill
23.737078,37.975208,The_Parliament
23.740638,37.976564,Platia_Filikis_Eterias
23.743547,37.977712,Kolonaki
23.733923,37.980824,National_Library_of_Greece
23.728602,37.968425,The_new_Acropolis_museum
23.7327,37.98901,National_Archaeological_Museum
23.711382,37.9786,Keramikos
23.726521,37.971606,The_Acropolis
23.722453,37.970263,Dionysiou_Aeropagitou
23.728924,37.972773,Plaka
23.734413,37.976668,Voukourestiou_Street
23.73491,37.986625,Exarchia
23.740039,37.969339,Panathenaic_Stadium
23.749432,37.976661,Dromeas
23.729029,37.975203,Mitropoleos_Square
23.735915,37.976127,Vasilissis_Sofias_Avenue
23.740393,37.976054,Benaki_Museum
23.776195,37.993411,Calatrava's_pedestrian_bridge
23.752876,37.980198,Eleftheria_Park
23.728548,37.976393,Church_of_Kapnikarea
23.789949,38.035315,Olympic_Athletic_Center_of_Athens
23.808661,38.073366,Kifisia
