type,properties/Name,properties/description,properties/tessellate,geometry/type,geometry/coordinates/0/0,geometry/coordinates/0/1,geometry/coordinates/1/0,geometry/coordinates/1/1,geometry/coordinates/2/0,geometry/coordinates/2/1,geometry/coordinates/3/0,geometry/coordinates/3/1,geometry/coordinates/4/0,geometry/coordinates/4/1,geometry/coordinates/5/0,geometry/coordinates/5/1,geometry/coordinates/6/0,geometry/coordinates/6/1,geometry/coordinates/7/0,geometry/coordinates/7/1,geometry/coordinates/8/0,geometry/coordinates/8/1,geometry/coordinates/9/0,geometry/coordinates/9/1,geometry/coordinates/10/0,geometry/coordinates/10/1,geometry/coordinates/11/0,geometry/coordinates/11/1,geometry/coordinates/12/0,geometry/coordinates/12/1,geometry/coordinates/13/0,geometry/coordinates/13/1,geometry/coordinates/14/0,geometry/coordinates/14/1,geometry/coordinates/15/0,geometry/coordinates/15/1,geometry/coordinates/16/0,geometry/coordinates/16/1,geometry/coordinates/17/0,geometry/coordinates/17/1,geometry/coordinates/18/0,geometry/coordinates/18/1,geometry/coordinates/19/0,geometry/coordinates/19/1,geometry/coordinates/20/0,geometry/coordinates/20/1,geometry/coordinates/21/0,geometry/coordinates/21/1,geometry/coordinates/22/0,geometry/coordinates/22/1,geometry/coordinates/23/0,geometry/coordinates/23/1,geometry/coordinates/24/0,geometry/coordinates/24/1,geometry/coordinates/25/0,geometry/coordinates/25/1,geometry/coordinates/26/0,geometry/coordinates/26/1,geometry/coordinates/27/0,geometry/coordinates/27/1,geometry/coordinates/28/0,geometry/coordinates/28/1,geometry/coordinates/29/0,geometry/coordinates/29/1,geometry/coordinates/30/0,geometry/coordinates/30/1,geometry/coordinates/31/0,geometry/coordinates/31/1,geometry/coordinates/32/0,geometry/coordinates/32/1,geometry/coordinates/33/0,geometry/coordinates/33/1,geometry/coordinates/34/0,geometry/coordinates/34/1,geometry/coordinates/35/0,geometry/coordinates/35/1,geometry/coordinates/36/0,geometry/coordinates/36/1,geometry/coordinates/37/0,geometry/coordinates/37/1,geometry/coordinates/38/0,geometry/coordinates/38/1,geometry/coordinates/39/0,geometry/coordinates/39/1,geometry/coordinates/40/0,geometry/coordinates/40/1,geometry/coordinates/41/0,geometry/coordinates/41/1,geometry/coordinates/42/0,geometry/coordinates/42/1,geometry/coordinates/43/0,geometry/coordinates/43/1,geometry/coordinates/44/0,geometry/coordinates/44/1,geometry/coordinates/45/0,geometry/coordinates/45/1,geometry/coordinates/46/0,geometry/coordinates/46/1,geometry/coordinates/47/0,geometry/coordinates/47/1,geometry/coordinates/48/0,geometry/coordinates/48/1,geometry/coordinates/49/0,geometry/coordinates/49/1,geometry/coordinates/50/0,geometry/coordinates/50/1,geometry/coordinates/51/0,geometry/coordinates/51/1,geometry/coordinates/52/0,geometry/coordinates/52/1,geometry/coordinates/53/0,geometry/coordinates/53/1,geometry/coordinates/54/0,geometry/coordinates/54/1,geometry/coordinates/55/0,geometry/coordinates/55/1,geometry/coordinates/56/0,geometry/coordinates/56/1,geometry/coordinates/57/0,geometry/coordinates/57/1,geometry/coordinates/58/0,geometry/coordinates/58/1,geometry/coordinates/59/0,geometry/coordinates/59/1,geometry/coordinates/60/0,geometry/coordinates/60/1,geometry/coordinates/61/0,geometry/coordinates/61/1,geometry/coordinates/62/0,geometry/coordinates/62/1,geometry/coordinates/63/0,geometry/coordinates/63/1,geometry/coordinates/64/0,geometry/coordinates/64/1,geometry/coordinates/65/0,geometry/coordinates/65/1,geometry/coordinates/66/0,geometry/coordinates/66/1,geometry/coordinates/67/0,geometry/coordinates/67/1,geometry/coordinates/68/0,geometry/coordinates/68/1,geometry/coordinates/69/0,geometry/coordinates/69/1,geometry/coordinates/70/0,geometry/coordinates/70/1,geometry/coordinates/71/0,geometry/coordinates/71/1,geometry/coordinates/72/0,geometry/coordinates/72/1,geometry/coordinates/73/0,geometry/coordinates/73/1,geometry/coordinates/74/0,geometry/coordinates/74/1,geometry/coordinates/75/0,geometry/coordinates/75/1,geometry/coordinates/76/0,geometry/coordinates/76/1,geometry/coordinates/77/0,geometry/coordinates/77/1,geometry/coordinates/78/0,geometry/coordinates/78/1,geometry/coordinates/79/0,geometry/coordinates/79/1,geometry/coordinates/80/0,geometry/coordinates/80/1,geometry/coordinates/81/0,geometry/coordinates/81/1,geometry/coordinates/82/0,geometry/coordinates/82/1,geometry/coordinates/83/0,geometry/coordinates/83/1,geometry/coordinates/84/0,geometry/coordinates/84/1,geometry/coordinates/85/0,geometry/coordinates/85/1,geometry/coordinates/86/0,geometry/coordinates/86/1,geometry/coordinates/87/0,geometry/coordinates/87/1,geometry/coordinates/88/0,geometry/coordinates/88/1,geometry/coordinates/89/0,geometry/coordinates/89/1,geometry/coordinates/90/0,geometry/coordinates/90/1,geometry/coordinates/91/0,geometry/coordinates/91/1,geometry/coordinates/92/0,geometry/coordinates/92/1,geometry/coordinates/93/0,geometry/coordinates/93/1,geometry/coordinates/94/0,geometry/coordinates/94/1,geometry/coordinates/0,geometry/coordinates/1,geometry/coordinates/95/0,geometry/coordinates/95/1,geometry/coordinates/96/0,geometry/coordinates/96/1,geometry/coordinates/97/0,geometry/coordinates/97/1,geometry/coordinates/98/0,geometry/coordinates/98/1,geometry/coordinates/99/0,geometry/coordinates/99/1,geometry/coordinates/100/0,geometry/coordinates/100/1,geometry/coordinates/101/0,geometry/coordinates/101/1,geometry/coordinates/102/0,geometry/coordinates/102/1,geometry/coordinates/103/0,geometry/coordinates/103/1,geometry/coordinates/104/0,geometry/coordinates/104/1,geometry/coordinates/105/0,geometry/coordinates/105/1,geometry/coordinates/106/0,geometry/coordinates/106/1,geometry/coordinates/107/0,geometry/coordinates/107/1,geometry/coordinates/108/0,geometry/coordinates/108/1,geometry/coordinates/109/0,geometry/coordinates/109/1,geometry/coordinates/110/0,geometry/coordinates/110/1,geometry/coordinates/111/0,geometry/coordinates/111/1,geometry/coordinates/112/0,geometry/coordinates/112/1,geometry/coordinates/113/0,geometry/coordinates/113/1,geometry/coordinates/114/0,geometry/coordinates/114/1,geometry/coordinates/115/0,geometry/coordinates/115/1,geometry/coordinates/116/0,geometry/coordinates/116/1,geometry/coordinates/117/0,geometry/coordinates/117/1,geometry/coordinates/118/0,geometry/coordinates/118/1,geometry/coordinates/119/0,geometry/coordinates/119/1,geometry/coordinates/120/0,geometry/coordinates/120/1,geometry/coordinates/121/0,geometry/coordinates/121/1,geometry/coordinates/122/0,geometry/coordinates/122/1,geometry/coordinates/123/0,geometry/coordinates/123/1,geometry/coordinates/124/0,geometry/coordinates/124/1,geometry/coordinates/125/0,geometry/coordinates/125/1,geometry/coordinates/126/0,geometry/coordinates/126/1,geometry/coordinates/127/0,geometry/coordinates/127/1,geometry/coordinates/128/0,geometry/coordinates/128/1,geometry/coordinates/129/0,geometry/coordinates/129/1,geometry/coordinates/130/0,geometry/coordinates/130/1,geometry/coordinates/131/0,geometry/coordinates/131/1,geometry/coordinates/132/0,geometry/coordinates/132/1,geometry/coordinates/133/0,geometry/coordinates/133/1,geometry/coordinates/134/0,geometry/coordinates/134/1,geometry/coordinates/135/0,geometry/coordinates/135/1,geometry/coordinates/136/0,geometry/coordinates/136/1,geometry/coordinates/137/0,geometry/coordinates/137/1,geometry/coordinates/138/0,geometry/coordinates/138/1,geometry/coordinates/139/0,geometry/coordinates/139/1,geometry/coordinates/140/0,geometry/coordinates/140/1,geometry/coordinates/141/0,geometry/coordinates/141/1,geometry/coordinates/142/0,geometry/coordinates/142/1,geometry/coordinates/143/0,geometry/coordinates/143/1,geometry/coordinates/144/0,geometry/coordinates/144/1,geometry/coordinates/145/0,geometry/coordinates/145/1,geometry/coordinates/146/0,geometry/coordinates/146/1,geometry/coordinates/147/0,geometry/coordinates/147/1,geometry/coordinates/148/0,geometry/coordinates/148/1
Feature,ISAP (metro line 1) : Piraeus - Kifissia,(ΗΣΑΠ) Πειραιάς - Κηφισιάς,1,LineString,23.64272,37.948,23.64479,37.94802,23.64382,37.94839,23.64263,37.94841,23.64381,37.94839,23.64431,37.9482,23.64275,37.94821,23.64431,37.9482,23.64479,37.94802,23.64735,37.94796,23.65092,37.94871,23.65224,37.94869,23.65548,37.94814,23.65724,37.94755,23.6619,37.94447,23.66279,37.94424,23.66365,37.94431,23.66468,37.94466,23.66606,37.94552,23.66675,37.94634,23.66922,37.95086,23.67034,37.95181,23.67251,37.95281,23.67948,37.95501,23.70351,37.96238,23.7069,37.96497,23.70896,37.96808,23.71242,37.97456,23.7136,37.97598,23.71467,37.97664,23.71579,37.97718,23.71702,37.97739,23.71849,37.97739,23.72274,37.97588,23.72385,37.97571,23.72426,37.97569,23.72465,37.97575,23.72553,37.97608,23.72595,37.9764,23.72808,37.98395,23.73023,37.99296,23.72982,37.99442,23.72858,37.99518,23.72409,37.99596,23.72291,37.99668,23.72266,37.9977,23.72295,38.00073,23.72332,38.00152,23.72703,38.00582,23.72757,38.00679,23.72946,38.01604,23.73225,38.02096,23.7333,38.02203,23.73595,38.02387,23.74212,38.02772,23.74514,38.03333,23.74986,38.03683,23.75106,38.03791,23.75207,38.04016,23.75319,38.04107,23.75463,38.04138,23.7566,38.04187,23.75838,38.04258,23.75928,38.04368,23.76008,38.04537,23.76083,38.04636,23.76211,38.04706,23.7643,38.04706,23.76656,38.04611,23.7696,38.04494,23.78027,38.04503,23.78207,38.04422,23.78399,38.04285,23.78527,38.0425,23.78648,38.04227,23.78771,38.04228,23.78875,38.04262,23.79234,38.04455,23.79418,38.04627,23.79797,38.05057,23.8013,38.05398,23.8058,38.05682,23.80638,38.05763,23.80608,38.05937,23.80394,38.06321,23.80368,38.06441,23.80398,38.06574,23.80454,38.06752,23.804251,38.069328,23.80453,38.070241,23.805195,38.070849,23.807191,38.071474,23.807888,38.071955,23.808242,38.072673,23.808135,38.073839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,ISAP (metro line 1) : future extension to Aghios Stefanos,,1,LineString,23.8082,38.07276,23.80806,38.07459,23.80721,38.08,23.80729,38.08051,23.80774,38.08113,23.81014,38.08336,23.816986,38.088499,23.828831,38.10417,23.840847,38.112004,23.845997,38.118757,23.844795,38.126455,23.839989,38.131046,23.841362,38.135502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,Metro- Line 2 : Aghios Dimitrios - Aghios Antonios,Άγιος Δημήτριος - Άγιος Αντώνιος,1,LineString,23.74085,37.93989,23.73737,37.94907,23.73464,37.95645,23.73317,37.957,23.72995,37.95705,23.72843,37.95763,23.72686,37.96084,23.72671,37.96436,23.72952,37.9687,23.73252,37.97187,23.73537,37.9752,23.73544,37.97671,23.73476,37.97813,23.73291,37.98027,23.73057,37.98246,23.72791,37.9842,23.72121,37.98614,23.72031,37.98692,23.71999,37.98794,23.721011,37.99199,23.72173,37.99543,23.7225,37.9994,23.72275,38.00049,23.72225,38.00142,23.72096,38.00182,23.71334,38.00277,23.70911,38.00373,23.69953,38.00632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,Metro- Line 2 : extension to Peristeri (end 2009),,1,LineString,23.690343,38.017567,23.69508,38.013645,23.697392,38.010974,23.697853,38.008776,23.69854,38.007272,23.699473,38.006367,23.699988,38.006206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,Metro- Line 2 : extension to Elliniko (spring 2010),,1,LineString,23.74062,37.94036,23.74162,37.93783,23.74471,37.93343,23.74488,37.93099,23.74437,37.92305,23.74396,37.91958,23.74405,37.91324,23.74613,37.89703,23.746551,37.894249,23.74742,37.891624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,Metro - Line 2 : future extension to Zephyri,,1,LineString,23.6919,38.01627,23.68838,38.01917,23.6854,38.02142,23.684893,38.02301,23.685751,38.024768,23.690729,38.027473,23.702145,38.039574,23.702488,38.042008,23.696737,38.04951,23.696566,38.051403,23.698196,38.053228,23.708839,38.056742,23.711758,38.058364,23.71356,38.061,23.713474,38.065595,23.710728,38.07046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,Metro - Line 2 : future extension to Glyfada,,1,LineString,23.74658,37.89413,23.74815,37.8895,23.74965,37.88653,23.75227,37.88488,23.758879,37.884135,23.764887,37.883457,23.767118,37.881831,23.766947,37.87946,23.764801,37.878038,23.751411,37.874379,23.749523,37.870924,23.745832,37.867875,23.745489,37.866181,23.74609,37.864555,23.751841,37.859134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,Metro- Line 3 : Airport (Eleftherios Venizelos) - Egaleo,Εθνική Άμυνα - Αιγάλεω,1,LineString,23.949423,37.941862,23.925712,37.91705,23.923207,37.915433,23.919672,37.914308,23.914522,37.913351,23.910928,37.912327,23.905048,37.909559,23.904094,37.909136,23.903085,37.908721,23.90198,37.90845,23.901004,37.908442,23.900188,37.908552,23.899469,37.908831,23.89874,37.909347,23.898203,37.909906,23.895779,37.91297,23.888891,37.924583,23.88741,37.92856,23.886423,37.932554,23.886209,37.960001,23.885543,37.962843,23.884342,37.965465,23.882024,37.968341,23.871789,37.978202,23.870738,37.979522,23.870137,37.980858,23.869836,37.982295,23.869858,37.983834,23.872476,37.992493,23.87269,37.994336,23.872411,37.996399,23.870459,38.00296,23.869772,38.005344,23.868613,38.008827,23.867841,38.012732,23.867047,38.014862,23.865588,38.01684,23.863614,38.018514,23.861403,38.019731,23.858657,38.020576,23.849591,38.021874,23.84295,38.022715,23.83875,38.023332,23.837864,38.023636,23.83677,38.024143,23.83544,38.024498,23.83393,38.02444,23.83198,38.02377,23.82966,38.02317,23.82413,38.0226,23.81863,38.02162,23.81357,38.01876,23.81167,38.01603,23.81046,38.0131,23.80848,38.01094,23.80604,38.00977,23.79462,38.0048,23.78518,37.99895,23.77653,37.99283,23.7731,37.99232,23.77003,37.99298,23.76662,37.99359,23.7634,37.99308,23.75973,37.99034,23.7572,37.9872,23.75544,37.98256,23.75334,37.97906,23.75055,37.97749,23.74763,37.9764,23.73551,37.97539,23.72578,37.97624,23.71883,37.97783,23.71158,37.97877,23.69407,37.98769,23.68168,37.99158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,Metro- Line 3 : extension to Piraeus (2013),,1,LineString,23.68217,37.99146,23.67759,37.99311,23.66925,37.99659,23.66555,37.99702,23.66274,37.99623,23.66116,37.99416,23.65961,37.99017,23.65038,37.97708,23.64918,37.97333,23.64931,37.97028,23.64918,37.96774,23.64729,37.96565,23.64395,37.96335,23.64197,37.96084,23.64106,37.95797,23.6409,37.95506,23.64141,37.95252,23.64195,37.9503,23.64249,37.94741,23.64373,37.94539,23.647245,37.942852,23.649927,37.942539,23.652148,37.943368,23.653586,37.944841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,Neos Kosmos (Νέος Κόσμος‎),Metro station of line 2<br>Tram station of lines 4 and 5<br>Στάση της γραμμής 2 του μετρό<br> <br>Στάση των γραμμών 4 και 5 του τραμ,-1,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.727947,37.957471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
