,accommodates,price,minimum_nights,maximum_nights,minimum_maximum_nights,availability_30,number_of_reviews,number_of_reviews_ltm,review_scores_rating,calculated_host_listings_count,calculated_host_listings_count_private_rooms,days_since_last_review,days_since_first_review,days_since_host_since,room_type,host_response_rate,bathrooms,host_is_superhost,host_identity_verified,instant_bookable,Entire rental unit,Price/square ,EMPORIKO TRIGONO-PLAKA,jumio,work_email,Shampoo,Heating,Hot water,TV,Coffee maker,Dedicated workspace,Bed linens,Washer,Elevator,Fire extinguisher,First aid kit,Free street parking,Extra pillows and blankets,Patio or balcony,Smoke alarm,Microwave,Shower gel,Luggage dropoff allowed,Private entrance,Host greets you,Lockbox,Room-darkening shades,Hot water kettle,Crib,Paid parking off premises,Body soap,Dryer,Baking sheet,Ethernet connection,Dishwasher,Outdoor furniture,High chair,Pack ’n play/Travel crib,Cable TV,Single level home,Bathtub
0,8,79.0,1,1125,1125,19,32,7,4.77,6,0,936,2346,4431,0,0,2 ,1.0,1.0,1,1,1400,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0
1,4,50.0,1,1125,1125,26,52,12,4.86,6,0,2072,2161,4430,0,0,1 ,1.0,1.0,1,1,1400,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
3,4,48.0,1,1125,1125,22,24,1,4.79,6,0,1906,2151,4430,0,0,1 ,1.0,1.0,1,1,1400,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
4,4,47.0,1,1125,1125,0,17,0,4.76,6,0,1625,2175,4431,0,0,1 ,1.0,1.0,1,1,1400,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0
5,4,59.0,2,1125,1125,25,465,10,4.82,2,0,48,2997,4188,0,5,1 ,1.0,1.0,0,0,2380,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0
6,5,30.0,5,365,365,28,71,0,4.7,2,0,1565,2275,4149,0,0,1 ,0.0,0.0,0,1,1800,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,7,120.0,2,365,365,0,121,0,4.66,1,0,1155,2508,4068,0,5,1.5 ,1.0,1.0,1,1,2380,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
8,2,70.0,10,730,730,28,3,0,5.0,1,0,1362,2633,4035,0,1,1 ,0.0,0.0,0,1,1680,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,50.0,2,1125,1125,16,343,12,4.75,1,0,3,3107,3999,0,5,2 ,0.0,1.0,1,1,1250,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
10,3,28.0,3,300,300,2,9,0,4.89,1,0,1483,2022,3994,0,0,1 ,0.0,1.0,0,1,1800,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
